text,class
เกลียด ชอบหลอกให้สั่งซื้อ ที่ไหนได้ไม่มีสินค้า,0
สินค้าด้อยคุณภาพ,0
สินค้าหมดทำไมไม่แจ้งขึ้นว่าหมดอะ กดใส่ตะกร้าไปเถอะ เซ็งเรย,0
อย่าทำแบบนี้กับใครอีกนะคะแย่มากค่ะ,0
คือแบบผิดหวังมาก แย่ที่สุดได้ของมาฝาแตก แตกนิดหน่อยไม่ว่าแตกเยอะมาก ครั้งเดียวพอจบแยก??,0
ส่งช้าจัง รอนานมาก ยกเลิกก้อไม่ได้,0
แย่มากกกกกกค่ะ เอาของพังมาให้ฉุนมากค่ะไม่พอใจเป็นอย่างมากค่ะ  ส่งของ ก็ไม่ได้ใบเสร็จ  ไม่ไหวจะเคลียร์,0
ไม่แนะนำซื้อมาใช้ได้วันเดียวใช้ไม่ได้แล้ว,0
แย่ๆสั่งสินค้าไปหลายวันแล้วไม่ส่งให้สักทีเหนื่อยกับการรอคอย,0
เสียความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว ไม่ดี,0
ยอดเยี่ยมค่ะ ราคาเหมาะสม บอกต่อได้เลยค่ะ,1
สวยค่ะ เหมือนในรูปเลย ชอบค่ะ ส่งของไวมากก,1
ใช้ดีค่ะหนานุ่มและขาวขึ้น,1
จัดส่งเร็วมาก สะดวกดี ของจริงขนาดใหญ่กว่าที่คิดไว้ แต่ใช้งานได้ดี,1
ชอบสินค้ามาก ไม่ผิดหวังที่รอ สวยยันบรรจุภัณฑ์คับ,1
สินค้าส่งรวดเร็ว พอใจในสินค้าครับ,1
สินค้าคุณภาพดี แข็งแรง เสียงดี เด็กๆ ชอบ และยังส่งเร็วด้วยค่ะ,1
ราคากับคุณภาพของสินค้ามีความเหมาะสม ใช้งานง่าย,1
ส่งของไว ห่อพัสดุดี  ของใช้งานเยี่ยม,1
สวยค่ะ การจัดส่งก็รวดเร็วดีค่ะ,1
ใช้เดือนเดียวพังแย่ๆมากๆ,0
เสียใจความรู้สึกมากกระเป๋าบางมากไม่ตรงกะแบบสินค้าที่ลงการแพ็คของส่งก็แย่เอาถุงดำที่ใส่ขยะแถมสกปรกมาก,0
การส่งของแย่มาก ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุคเสียหายจะทำยังไง,0
ใช้ในรถระบบเสีย พังใช้ต่อไม่ได้,0
ผิดหวัง ลบไม่ออก,0
หมดอายุแล้วไม่ควรเอามาลงขายค่ะเสียใจผิดหวังมากๆค่ะกว่าจะหมดแพงด้วยนะ,0
ส่งช้ามาก ตอนนี้ยังไม่ได้ของ,0
ได้รับของแล้วผิดหวังมาก ไม่ดีเลยค่ะ,0
สินค้าไม่มีคุณภาพสายกางเกงไม่เท่ากัน,0
ช้าสุดๆรอจนรำคาญละ,0
คุณภาพคุ้มค่าครับ,1
ส่งเร็วดี ใช้ดีคุ้มมาก ราคาถูก,1
ได้รับสินค้าเร็วค่ะ และสินค้าก็มีคุณภาพ สวมใส่สบายตัวมากๆๆ เลยค่ะ,1
ได้รับของเร็วมาก แถมสินค้าได้ตามต้องการสวยมาก,1
รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้วรู้สึกว่าดีนะ,1
ใช้ได้ดีเหมาะกับราคานี้ ก็สรุปว่าดีครับ,1
สินค้าใช้แล้วดีมากไม่ทำให้ลูกแพ้เลยแถมราคาถูกกว่าในห้างและตามร้านค้าอีก,1
ใช้งานดีมากส่งของก็เร็วของครับ,1
ส่งไวมาก สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมาดีมาก ใช้งานได้ปกติไม่มีปัญหาอะไร ถือว่าคุ้มค่าสุดๆครับ,1
วัสดุค่อนข้างดีนับว่าคุ้มราคาครับ,1
สินค้าไม่เหมือนในรูป ผิดหวังมาก เย็บไม่ดีเลย,0
ใช้แล้วสิวขึ้นเต็มเลยไม่รู้แพ้รึเปล่า....เซ็งเลยเหลือตั้งเยอะเสียดายมาก,0
คุณภาพแย่มากใช้งานไม่ได้แม้แต่ครั้งเดียว,0
ผิดหวังมาก ไม่แนะนำให้ใช้ค่ะ,0
สรุปแพงกว่าท้องตลาดคะแย่มากเสียความ,0
รู้สึกผิดหวังมาก ไม่ใช่แบบที่หวังไว้เลยย,0
แย่มากๆๆๆๆ ไม่ส่งของแถมมาให้ตามที่โฆษณา ,0
